Jakarta, 5000, 9000, 15000, 37000, 42000
Semarang, 12000, 17000, 26000, 48000, 256000
Surabaya, 12000, 19000, 27000, 52000, 256000
Medan, 23000, 29000, 38000, 68000, 281000
Bandung, 8000, 10000, 20000, 42000, 181000
Makassar, 30000, 35000, 48000, 80000, 326000
Palembang, 16000, 21000, 32000, 52000, 256000
Batam, 22000, 27000, 37000, 64000, 256000
Pekanbaru, 22000, 27000, 36000, 52000, 256000
Malang, 15000, 21000, 30000, 52000, 256000
Denpasar, 16000, 21000, 30000, 55000, 256000
Yogyakarta, 12000, 17000, 26000, 48000, 256000
Tangerang, 6000, 9000, 15000, 37000, 156000
